PERSONAL INFORMATION,,,,,,,,,,
Name,Dietary Restrictions,Home ,Goals,Collection Date,,,,,,
La Barra at Mercado Little Spain,241,5.2,"Spanish, Tapas","Chelsea, Manhattan",$$$,9/14/24,Restaurants,,,
Lola Taverna,242,5.2,"Greek, Mediterranean","Garment District, Manhattan",$$$,8/8/24,Restaurants,,,
Pappas New York,243,5.2,"Greek, Mediterranean","South Village, Manhattan",$$$,6/10/24,Restaurants,,,
Cheeky Monkey Brewing Company,244,5.1,"American, Brewery, Mexican, Southern","West Fens, Boston, MA",$,9/20/24,Bars,,,
Lafayette Grand Café & Bakery,245,5.1,"French, Café","NoHo, Manhattan",$$$,3/12/24,Bakeries,,,
Zou Zou’s,246,5.1,Mediterranean,"Chelsea, Manhattan",$$$,3/26/24,Restaurants,,,
Kare Thai,247,5.0,Thai,"Hell's Kitchen, Manhattan",$$,7/4/24,Restaurants,,,
PONGAL,248,5.0,Indian,"Rose Hill, Manhattan",$$,8/8/24,Restaurants,,,
Myers+Chang,249,4.9,Asian Fusion,"South End, Boston, MA",$$,9/21/24,Restaurants,,,
The Blue Dog,250,4.8,American,"Hell's Kitchen, Manhattan",$$,7/10/24,Restaurants,,,
Tom's,251,4.8,"American, Diner","Morningside Heights, Manhattan",$,8/8/24,Restaurants,,,
Angaar Classic Indian Cuisine,252,4.7,Indian,"Central Park West Historic District, Manhattan",$$,8/8/24,Restaurants,,,
Awadh,253,4.7,Indian,"Bloomingdale, Manhattan",$$$,8/8/24,Restaurants,,,
Starbucks Reserve - Empire State Building,254,4.7,Coffee,"Midtown South, Manhattan",$$,8/23/24,Coffee & Tea,,,
Mercado Little Spain,255,4.6,Spanish,"Chelsea, Manhattan",$$,7/12/24,Restaurants,,,
Norma Hell's Kitchen,256,4.6,"Italian, Sicilian","Hell's Kitchen, Manhattan",$$,4/3/24,Restaurants,,,
Spanish Diner at Mercado Little Spain,257,4.6,"Diner, Spanish","Chelsea, Manhattan",$$,7/4/24,Restaurants,,,
Stout NYC,258,4.6,"American, Burgers","Midtown South, Manhattan",$$,7/15/24,Bars,,,
Utsav,259,4.6,Indian,"Theater District, Manhattan",$$,3/2/24,Restaurants,,,
Sotto 13,260,4.4,Italian,"West Village, Manhattan",$$$,8/30/24,Restaurants,,,
Banc Cafe,261,4.3,American,"Kips Bay, Manhattan",$$,7/15/24,Restaurants,,,
Le Bouchon,262,4.3,French,"Cold Spring, NY",$$,8/5/24,Restaurants,,,
The Grafton,263,4.2,"American, Bar Food, Irish","Ukrainian Village, Manhattan",$$,8/25/24,Bars,,,
12 Chairs Cafe,264,4.1,"Israeli, Middle Eastern","SoHo, Manhattan",$$$,3/2/24,Restaurants,,,
Modern Tea Shop,265,4.1,Bubble Tea,"Hell's Kitchen, Manhattan",$,8/29/24,Coffee & Tea,,,
Szechuan Garden,266,4.1,"Chinese, Sichuan","Bloomingdale, Manhattan",$$,8/8/24,Restaurants,,,
Patrizia's Of Manhattan,267,4.0,"Italian, Pizza","Kips Bay, Manhattan",$$,8/9/24,Restaurants,,,
Atlas Kitchen,268,3.9,Chinese,"Bloomingdale, Manhattan",$$,8/8/24,Restaurants,,,
230 Fifth Rooftop Bar,269,3.8,"American, Cocktail Bar","NoMad, Manhattan",$$,3/2/24,Bars,,,
Dutch Fred's,270,3.8,Bar,"Hell's Kitchen, Manhattan",$$,6/19/24,Restaurants,,,
Kikoo Sushi,271,3.8,"Japanese, Sushi","Manhattan Valley, Manhattan",$$,7/6/24,Restaurants,,,
Carmine's,272,3.7,Italian,"Theater District, Manhattan",$$$,3/2/24,Restaurants,,,
Carmine's Italian Restaurant - Upper West Side,273,3.7,Italian,"Central Park West Historic District, Manhattan",$$$,8/8/24,Restaurants,,,
Ortomare,274,3.6,"Italian, Pizza","Manhattan Valley, Manhattan",$$,7/6/24,Restaurants,,,
Poke Bowl,275,3.5,Poke,"Theater District, Manhattan",$,8/26/24,Restaurants,,,
Roti Roll,276,3.5,"Indian, Sandwiches","Bloomingdale, Manhattan",$,8/8/24,Restaurants,,,
Elysian Fields,277,3.4,"Greek, Mediterranean","Morningside Heights, Manhattan",$$$,6/10/24,Restaurants,,,
Mr Chow,278,2.9,Chinese,"Midtown East, Manhattan",$$$$,9/11/24,Restaurants,,,
Symposium,279,2.3,"Greek, Mediterranean","Morningside Heights, Manhattan",$$,8/8/24,Restaurants,,,
Koronet Pizza,280,1.8,Pizza,"Morningside Heights, Manhattan",$,8/8/24,Restaurants,,,
Deep Indian Kitchen,281,1.2,Indian,"Midtown West, Manhattan",$,3/2/24,Restaurants,,,
Saar Indian Cuisine & Bar,282,0.6,Indian,"Midtown West, Manhattan",$$,3/2/24,Restaurants,,,
